Province_State,week,cases
Arkansas,2020-W46,395524
Arkansas,2020-W47,978632
Arkansas,2020-W48,1062354
Arkansas,2020-W49,157359
Arkansas,2020-W50,185702
Arkansas,2020-W51,1361487
Arkansas,2020-W52,1469354
Arkansas,2020-W53,883342
California,2020-W04,2
California,2020-W05,11
California,2020-W07,32
California,2020-W08,69
California,2020-W09,75
California,2020-W11,988
California,2020-W12,7263
California,2020-W13,29024
California,2020-W14,14875
California,2020-W16,193129
California,2020-W17,274292
California,2020-W18,192075
California,2020-W20,387055
California,2020-W21,623667
California,2020-W22,737943
California,2020-W24,303900
California,2020-W25,1179024
California,2020-W26,1444644
California,2020-W27,471498
California,2020-W29,2604850
California,2020-W30,3067086
California,2020-W31,2448267
California,2020-W33,2486276
California,2020-W34,4596474
California,2020-W35,4862899
California,2020-W36,713644
California,2020-W37,763934
California,2020-W38,5439640
California,2020-W39,5612956
California,2020-W40,2454633
California,2020-W42,5243867
California,2020-W43,6295506
California,2020-W44,5570201
California,2020-W46,3115862
California,2020-W47,7687070
California,2020-W48,8404686
California,2020-W49,1259126
California,2020-W50,1641382
California,2020-W51,12777099
California,2020-W52,14805581
California,2020-W53,9287663
Colorado,2020-W04,0
Colorado,2020-W05,0
Colorado,2020-W07,0
Colorado,2020-W08,0
Colorado,2020-W09,0
Colorado,2020-W11,317
Colorado,2020-W12,2272
Colorado,2020-W13,10259
Colorado,2020-W14,5593
Colorado,2020-W16,94928
Colorado,2020-W17,117354
Colorado,2020-W18,76745
Colorado,2020-W20,126069
Colorado,2020-W21,188900
Colorado,2020-W22,199624
Colorado,2020-W24,62753
Colorado,2020-W25,227073
Colorado,2020-W26,241268
Colorado,2020-W27,72144
Colorado,2020-W29,311343
Colorado,2020-W30,336991
Colorado,2020-W31,253752
Colorado,2020-W33,224421
Colorado,2020-W34,404297
Colorado,2020-W35,418820
Colorado,2020-W36,60938
Colorado,2020-W37,65935
Colorado,2020-W38,479364
Colorado,2020-W39,509374
Colorado,2020-W40,227834
Colorado,2020-W42,558072
Colorado,2020-W43,723192
Colorado,2020-W44,707160
Colorado,2020-W46,576925
Colorado,2020-W47,1538465
Colorado,2020-W48,1765587
Colorado,2020-W49,270659
Colorado,2020-W50,319132
Colorado,2020-W51,2313726
Colorado,2020-W52,2416070
Colorado,2020-W53,1428899
Connecticut,2020-W04,0
Connecticut,2020-W05,0
Connecticut,2020-W07,0
Connecticut,2020-W08,0
Connecticut,2020-W09,0
Connecticut,2020-W11,58
Connecticut,2020-W12,1079
Connecticut,2020-W13,7728
Connecticut,2020-W14,5699
Connecticut,2020-W16,110330
Connecticut,2020-W17,159532
Connecticut,2020-W18,106776
Connecticut,2020-W20,180526
Connecticut,2020-W21,274901
Connecticut,2020-W22,291008
Connecticut,2020-W24,90082
Connecticut,2020-W25,318480
Connecticut,2020-W26,322156
Connecticut,2020-W27,92876
Connecticut,2020-W29,334105
Connecticut,2020-W30,338934
Connecticut,2020-W31,247080
Connecticut,2020-W33,203473
Connecticut,2020-W34,359825
Connecticut,2020-W35,366106
Connecticut,2020-W36,52879
Connecticut,2020-W37,54326
Connecticut,2020-W38,387059
Connecticut,2020-W39,394732
Connecticut,2020-W40,172026
Connecticut,2020-W42,374076
Connecticut,2020-W43,456876
Connecticut,2020-W44,418723
Connecticut,2020-W46,265935
Connecticut,2020-W47,689086
Connecticut,2020-W48,770067
Connecticut,2020-W49,117295
Connecticut,2020-W50,146761
Connecticut,2020-W51,1115683
Connecticut,2020-W52,1198014
Connecticut,2020-W53,732538
Delaware,2020-W04,0
Delaware,2020-W05,0
Delaware,2020-W07,0
Delaware,2020-W08,0
Delaware,2020-W09,0
Delaware,2020-W11,16
Delaware,2020-W12,213
Delaware,2020-W13,1030
Delaware,2020-W14,583
Delaware,2020-W16,15161
Delaware,2020-W17,23236
Delaware,2020-W18,18126
Delaware,2020-W20,36765
Delaware,2020-W21,58353
Delaware,2020-W22,64454
Delaware,2020-W24,20493
Delaware,2020-W25,73753
Delaware,2020-W26,76870
Delaware,2020-W27,22850
Delaware,2020-W29,92297
Delaware,2020-W30,97753
Delaware,2020-W31,72961
Delaware,2020-W33,65154
Delaware,2020-W34,116983
