Province_State,week,retail_and_recreation_percent_change_from_baseline
Delaware,2020-W14,-39.535714285714285
Delaware,2020-W15,-41.714285714285715
Delaware,2020-W16,-38.107142857142854
Delaware,2020-W17,-36.785714285714285
Delaware,2020-W18,-31.821428571428573
Delaware,2020-W19,-26.214285714285715
Delaware,2020-W20,-24.928571428571427
Delaware,2020-W21,-22.142857142857142
Delaware,2020-W22,-20.392857142857142
Delaware,2020-W23,-6.5
Delaware,2020-W24,0.35714285714285715
Delaware,2020-W25,4.035714285714286
Delaware,2020-W26,5.178571428571429
Delaware,2020-W27,6.642857142857143
Delaware,2020-W28,2.392857142857143
Delaware,2020-W29,4.928571428571429
Delaware,2020-W30,3.857142857142857
Delaware,2020-W31,5.535714285714286
Delaware,2020-W32,3.642857142857143
Delaware,2020-W33,4.035714285714286
Delaware,2020-W34,5.321428571428571
Delaware,2020-W35,3.607142857142857
Delaware,2020-W36,6.607142857142857
Delaware,2020-W37,1.75
Delaware,2020-W38,2.142857142857143
Delaware,2020-W39,-0.7142857142857143
Delaware,2020-W40,-1.4285714285714286
Delaware,2020-W41,-3.7142857142857144
Delaware,2020-W42,-6.464285714285714
Delaware,2020-W43,-6.928571428571429
Delaware,2020-W44,-9.821428571428571
Delaware,2020-W45,-4.678571428571429
Delaware,2020-W46,-8.071428571428571
Delaware,2020-W47,-9.25
Delaware,2020-W48,-14.107142857142858
Delaware,2020-W49,-11.357142857142858
Delaware,2020-W50,-10.25
Delaware,2020-W51,-12.535714285714286
Delaware,2020-W52,-14.607142857142858
Delaware,2020-W53,0.5625
District Of Columbia,2020-W07,2.0
District Of Columbia,2020-W08,-2.2857142857142856
District Of Columbia,2020-W09,1.1428571428571428
District Of Columbia,2020-W10,6.285714285714286
District Of Columbia,2020-W11,-9.714285714285714
District Of Columbia,2020-W12,-47.42857142857143
District Of Columbia,2020-W13,-60.57142857142857
District Of Columbia,2020-W14,-61.42857142857143
District Of Columbia,2020-W15,-65.0
District Of Columbia,2020-W16,-65.0
District Of Columbia,2020-W17,-64.71428571428571
District Of Columbia,2020-W18,-61.857142857142854
District Of Columbia,2020-W19,-59.857142857142854
District Of Columbia,2020-W20,-60.0
District Of Columbia,2020-W21,-59.0
District Of Columbia,2020-W22,-57.142857142857146
District Of Columbia,2020-W23,-53.285714285714285
District Of Columbia,2020-W24,-52.57142857142857
District Of Columbia,2020-W25,-52.42857142857143
District Of Columbia,2020-W26,-50.42857142857143
District Of Columbia,2020-W27,-48.42857142857143
District Of Columbia,2020-W28,-49.285714285714285
District Of Columbia,2020-W29,-48.142857142857146
District Of Columbia,2020-W30,-49.142857142857146
District Of Columbia,2020-W31,-48.142857142857146
District Of Columbia,2020-W32,-48.0
District Of Columbia,2020-W33,-49.285714285714285
District Of Columbia,2020-W34,-48.0
District Of Columbia,2020-W35,-45.857142857142854
District Of Columbia,2020-W36,-46.714285714285715
District Of Columbia,2020-W37,-49.285714285714285
District Of Columbia,2020-W38,-46.285714285714285
District Of Columbia,2020-W39,-46.42857142857143
District Of Columbia,2020-W40,-46.142857142857146
District Of Columbia,2020-W41,-47.285714285714285
District Of Columbia,2020-W42,-48.285714285714285
District Of Columbia,2020-W43,-47.714285714285715
District Of Columbia,2020-W44,-49.42857142857143
District Of Columbia,2020-W45,-47.142857142857146
District Of Columbia,2020-W46,-49.714285714285715
District Of Columbia,2020-W47,-50.0
District Of Columbia,2020-W48,-54.857142857142854
District Of Columbia,2020-W49,-52.142857142857146
District Of Columbia,2020-W50,-51.285714285714285
District Of Columbia,2020-W51,-54.57142857142857
District Of Columbia,2020-W52,-58.142857142857146
District Of Columbia,2020-W53,-51.25
Florida,2020-W07,6.196850393700787
Florida,2020-W08,3.879194630872483
Florida,2020-W09,8.689887640449438
Florida,2020-W10,9.170022371364654
Florida,2020-W11,6.988814317673378
Florida,2020-W12,-17.621380846325167
Florida,2020-W13,-35.388392857142854
Florida,2020-W14,-38.897550111358576
Florida,2020-W15,-46.39193083573487
Florida,2020-W16,-40.39193083573487
Florida,2020-W17,-38.55907780979827
Florida,2020-W18,-32.229651162790695
Florida,2020-W19,-25.023255813953487
Florida,2020-W20,-22.426997245179063
Florida,2020-W21,-17.74607329842932
Florida,2020-W22,-17.986910994764397
Florida,2020-W23,-16.178477690288712
Florida,2020-W24,-13.324607329842932
Florida,2020-W25,-11.387862796833772
Florida,2020-W26,-14.782722513089006
Florida,2020-W27,-15.068241469816273
Florida,2020-W28,-16.591623036649214
Florida,2020-W29,-17.115183246073297
Florida,2020-W30,-18.350785340314136
Florida,2020-W31,-18.673629242819842
Florida,2020-W32,-16.840314136125656
Florida,2020-W33,-17.82460732984293
Florida,2020-W34,-21.033088235294116
Florida,2020-W35,-22.417582417582416
Florida,2020-W36,-19.022140221402214
Florida,2020-W37,-20.72327044025157
Florida,2020-W38,-19.780104712041886
Florida,2020-W39,-17.287958115183248
Florida,2020-W40,-16.054973821989527
Florida,2020-W41,-16.455729166666668
Florida,2020-W42,-15.591623036649215
Florida,2020-W43,-15.806282722513089
Florida,2020-W44,-14.426701570680628
Florida,2020-W45,-15.107329842931938
Florida,2020-W46,-16.673629242819842
Florida,2020-W47,-14.903141361256544
Florida,2020-W48,-19.580901856763926
Florida,2020-W49,-12.616187989556137
Florida,2020-W50,-13.362924281984334
Florida,2020-W51,-11.672774869109947
Florida,2020-W52,-16.854111405835543
Florida,2020-W53,-2.337962962962963
Georgia,2020-W07,2.4754098360655736
Georgia,2020-W08,1.3693901035673188
Georgia,2020-W09,11.85747392815759
Georgia,2020-W10,10.688581314878892
Georgia,2020-W11,9.110982658959538
Georgia,2020-W12,-14.890285714285714
Georgia,2020-W13,-30.29738933030647
Georgia,2020-W14,-33.09318181818182
Georgia,2020-W15,-39.222707423580786
Georgia,2020-W16,-28.75054229934924
Georgia,2020-W17,-26.01304347826087
Georgia,2020-W18,-14.827433628318584
Georgia,2020-W19,-9.595555555555556
Georgia,2020-W20,-8.758823529411766
Georgia,2020-W21,-6.6454545454545455
Georgia,2020-W22,-7.743682310469314
Georgia,2020-W23,-2.757741347905282
Georgia,2020-W24,-3.0636363636363635
Georgia,2020-W25,-1.4327272727272726
Georgia,2020-W26,-4.021699819168173
Georgia,2020-W27,-1.8720292504570384
Georgia,2020-W28,-3.625
Georgia,2020-W29,-3.1268115942028984
Georgia,2020-W30,-4.764065335753176
Georgia,2020-W31,-3.5985533453887886
Georgia,2020-W32,-3.392014519056261
Georgia,2020-W33,-5.724137931034483
Georgia,2020-W34,-12.390134529147982
Georgia,2020-W35,-13.38116591928251
Georgia,2020-W36,-8.86936936936937
Georgia,2020-W37,-9.102425876010782
Georgia,2020-W38,-5.8090909090909095
Georgia,2020-W39,-5.730072463768116
Georgia,2020-W40,-2.885869565217391
Georgia,2020-W41,-6.324909747292419
Georgia,2020-W42,-3.896551724137931
Georgia,2020-W43,-4.956678700361011
Georgia,2020-W44,-3.4550359712230216
Georgia,2020-W45,-4.271739130434782
Georgia,2020-W46,-5.2797833935018055
Georgia,2020-W47,-4.905797101449275
Georgia,2020-W48,-12.611913357400722
Georgia,2020-W49,-4.143375680580762
Georgia,2020-W50,-5.084684684684684
Georgia,2020-W51,-2.693140794223827
Georgia,2020-W52,-11.057835820895523
Georgia,2020-W53,4.341216216216216
Hawaii,2020-W07,2.7
Hawaii,2020-W08,2.2
